date,median,95_ci,05_ci,param,age_group,num_diseased
2020-06-07,1.0346338029121753,1.043943372421396,1.0268997606277188,contact_rate,50-59,1651.0
2020-06-08,1.0352490890291763,1.0447235442271554,1.0268444528538505,contact_rate,50-59,1651.0
2020-06-09,1.0344213727421259,1.0436738554562446,1.026334195445984,contact_rate,50-59,1651.0
2020-06-10,1.0343382851912288,1.043428915452834,1.0258827172733602,contact_rate,50-59,1651.0
2020-06-11,1.03313175742303,1.0427700175331795,1.024443618674522,contact_rate,50-59,1651.0
2020-06-12,1.033162546940045,1.0425391850017982,1.0244658655634507,contact_rate,50-59,1651.0
2020-06-13,1.0351195923883214,1.0447564042399473,1.0261828152295354,contact_rate,50-59,1651.0
2020-06-14,1.0376197345117504,1.0473828752439995,1.0285252501830553,contact_rate,50-59,1651.0
2020-06-15,1.036296809375565,1.0460678950975641,1.027378022982963,contact_rate,50-59,1651.0
2020-06-16,1.0376410877525504,1.0473415325479405,1.028178823028144,contact_rate,50-59,1651.0
2020-06-17,1.0338840056581575,1.0432381245082611,1.0250137728278188,contact_rate,50-59,1651.0
2020-06-18,1.0350878961536094,1.0443962623603436,1.0256560584499632,contact_rate,50-59,1651.0
2020-06-19,1.0397517124636746,1.0492145894856633,1.03060513570865,contact_rate,50-59,1651.0
2020-06-20,1.0350513425245655,1.0444059123787315,1.0260654563042528,contact_rate,50-59,1651.0
2020-06-21,1.036225569275134,1.0460038742119209,1.0276156122546858,contact_rate,50-59,1651.0
2020-06-22,1.0389053883753987,1.0485605029145832,1.0300900161595572,contact_rate,50-59,1651.0
2020-06-23,1.0390535519747939,1.0484955230448199,1.030411960174148,contact_rate,50-59,1651.0
2020-06-24,1.0317407459223966,1.0406095753447417,1.0233121185353913,contact_rate,50-59,1651.0
2020-06-25,1.0345711904365469,1.044183009350864,1.0259673542991925,contact_rate,50-59,1651.0
2020-06-26,1.035908530011487,1.0457674299872972,1.0269145026144302,contact_rate,50-59,1651.0
2020-06-27,1.0406902492640682,1.0505718405283404,1.031752410138681,contact_rate,50-59,1651.0
2020-06-28,1.0400612772461646,1.0499964843164111,1.031353657416835,contact_rate,50-59,1651.0
2020-06-29,1.037434718684304,1.0467287247570456,1.0282189042441556,contact_rate,50-59,1651.0
2020-06-30,1.0377223887464226,1.0471988031425383,1.0284972755002062,contact_rate,50-59,1651.0
2020-07-01,1.0386634637549579,1.0480387797624777,1.029726584377531,contact_rate,50-59,1651.0
2020-07-02,1.0378353153347586,1.0468429909338353,1.0287791686301766,contact_rate,50-59,1651.0
2020-07-03,1.0376210165589677,1.047791342296244,1.0287058145325463,contact_rate,50-59,1651.0
2020-07-04,1.035383884861469,1.045503654619146,1.0263766286505773,contact_rate,50-59,1651.0
2020-07-05,1.035859539499966,1.0467085194694086,1.0271379877725553,contact_rate,50-59,1651.0
2020-07-06,1.03612890570382,1.0463021324004256,1.027130929403237,contact_rate,50-59,1651.0
2020-07-07,1.0373248649384805,1.0475935137624643,1.0282241881601868,contact_rate,50-59,1651.0
2020-07-08,1.0372992359786108,1.0482757282081743,1.028225797026833,contact_rate,50-59,1651.0
2020-07-09,1.0407430510462983,1.0521856884165748,1.031614478988411,contact_rate,50-59,1651.0
2020-07-10,1.0458869917241513,1.057178600582306,1.0366731487506418,contact_rate,50-59,1651.0
2020-07-11,1.0480538412993696,1.059169831166168,1.0384098950682386,contact_rate,50-59,1651.0
2020-07-12,1.0473623305065893,1.0580635010196382,1.0385013241483922,contact_rate,50-59,1651.0
2020-07-13,1.0456967311767174,1.0564135408042874,1.0370452679532733,contact_rate,50-59,1651.0
2020-07-14,1.0445762474051694,1.0551743035876617,1.0353334532666725,contact_rate,50-59,1651.0
2020-07-15,1.046578786037177,1.0570606536622955,1.0372420537149023,contact_rate,50-59,1651.0
2020-07-16,1.0459870841043584,1.0560925326700144,1.0366284667499022,contact_rate,50-59,1651.0
2020-07-17,1.0428604073315426,1.0530185478800045,1.033550617248132,contact_rate,50-59,1651.0
2020-07-18,1.0409276741043398,1.051324187952038,1.0316376877645377,contact_rate,50-59,1651.0
2020-07-19,1.0424874686463963,1.0532832921706416,1.0329151472378453,contact_rate,50-59,1651.0
2020-07-20,1.0443674544279058,1.0550616707574847,1.0353058096219774,contact_rate,50-59,1651.0
2020-07-21,1.0438138583780194,1.0550075171761062,1.0350815571051737,contact_rate,50-59,1651.0
2020-07-22,1.0440486353632172,1.0551701170907701,1.033821945870757,contact_rate,50-59,1651.0
2020-07-23,1.0426878046391796,1.0530995506056817,1.0327212275866275,contact_rate,50-59,1651.0
2020-07-24,1.0417013998469167,1.0521771144800132,1.031562311105016,contact_rate,50-59,1651.0
2020-07-25,1.040868503996682,1.051729353665507,1.0302910360028916,contact_rate,50-59,1651.0
2020-07-26,1.0423297615661666,1.0531724559213589,1.0321649687092596,contact_rate,50-59,1651.0
2020-07-27,1.0415718889198788,1.0531001417608121,1.0309553245122978,contact_rate,50-59,1651.0
2020-07-28,1.0436629495510474,1.0548563499522154,1.0330211338020852,contact_rate,50-59,1651.0
2020-07-29,1.042895092899145,1.0542990885356238,1.03236119813743,contact_rate,50-59,1651.0
2020-07-30,1.0425632860494651,1.0538034899057278,1.032948937715894,contact_rate,50-59,1651.0
2020-07-31,1.0464780816490753,1.0581608282871264,1.03649701723582,contact_rate,50-59,1651.0
